stage,lag,n_examples,raw_mean,raw_sample_std,centered_mean,centered_sample_std
vision_block_late,35,35,0.999955579626136,1.248751539339141e-05,-0.06297399622789249,0.1987150491779896
vision_block_late,36,35,0.9999553887699941,1.2533126555053584e-05,-0.0698568940476132,0.16985562185748984
vision_block_late,37,35,0.9999550227496834,1.2474168910308276e-05,-0.1102360748795211,0.17289131837385138
vision_block_late,38,35,0.9999551679268227,1.2519178218060586e-05,-0.05374000468805024,0.18277743407051078
vision_block_late,39,35,0.9999551022207602,1.2290955028539327e-05,-0.024642811730448414,0.17459224741891136
vision_block_late,40,35,0.9999551596905211,1.2423634338647986e-05,-0.06444168998350513,0.21633582860123404
vision_block_late,41,35,0.9999549242475554,1.2573280981312556e-05,-0.022479710218767348,0.19266866896822932
vision_block_late,42,35,0.9999547392829243,1.2886871635662305e-05,-0.03616668745628948,0.1833296537744307
vision_block_late,43,35,0.9999542586274784,1.2941766711850598e-05,-0.04693494383204994,0.21864451221092313
vision_block_late,44,35,0.9999534821287492,1.2948812763379208e-05,-0.08669281082659813,0.20231174036540986
vision_block_late,45,35,0.999953497652754,1.2539320971507102e-05,-0.061010474782651154,0.1815461388031487
vision_block_late,46,35,0.9999537196796733,1.2082491176555362e-05,-0.048689034552430496,0.18672152198663025
vision_block_late,47,35,0.9999534119635098,1.2128946746886418e-05,-0.011537982108077171,0.21059618452822912
vision_block_late,48,35,0.9999533875020822,1.222521134614887e-05,0.007311175791584949,0.25961680611963045
vision_block_late,49,35,0.999953089533652,1.2420894636479966e-05,-0.011229412788465667,0.2513694199788493
vision_block_late,50,34,0.9999527261084783,1.302535073489906e-05,-0.02505102294241852,0.22631573090731597
vision_block_late,51,34,0.9999528773451865,1.2673041989061342e-05,0.0009340913677843861,0.301302925973213
vision_block_late,52,34,0.999952463638945,1.3139543840637785e-05,0.01906268850676098,0.27177922689833045
vision_block_late,53,34,0.9999524990317391,1.3498513205127985e-05,0.005564600430658507,0.2591398343171597
vision_block_late,54,34,0.9999524265365985,1.4059563112006491e-05,-0.0034415087460305895,0.2620506590045727
vision_block_late,55,34,0.9999532629065365,1.4103621657976451e-05,-0.07405160968593721,0.2794462270311705
vision_block_late,56,34,0.9999541636676832,1.4132126503930227e-05,0.052812652613706185,0.31135686210321517
vision_block_late,57,34,0.9999537909023473,1.4726136458989481e-05,0.013571091728553255,0.4123733013982824
vision_block_late,58,34,0.9999538478338483,1.5408505926753036e-05,0.04999335702909431,0.39296517346468834
vision_block_late,59,34,0.9999534306598447,1.5112459435782501e-05,0.0342251910990182,0.3763958872552582
vision_block_late,60,34,0.9999537035506065,1.4362953124957268e-05,-0.0785687129777577,0.4551399718598788
vision_block_late,61,34,0.9999520199998918,1.63247177389627e-05,0.035040328997711055,0.5632918884978011
vision_block_late,62,34,0.9999508326823069,1.7162009039739087e-05,0.11458632168313494,0.6815623724676584
vision_block_late,63,34,0.9999535668849453,1.748250898326253e-05,0.11332615778820701,0.8951078041953376
vision_merger_pre_reverse,1,77,0.9680617170621222,0.016254255639743594,0.24407735073542342,0.17365992104630437
vision_merger_pre_reverse,2,77,0.9565213394081044,0.025111673752698956,0.035241013371309075,0.16138806090779656
vision_merger_pre_reverse,3,77,0.9525840529787941,0.027757779153384284,-0.06159501041240683,0.20098314336429124
vision_merger_pre_reverse,4,77,0.9503266490492637,0.02796894656768135,-0.11669926732770311,0.228039652004359
vision_merger_pre_reverse,5,77,0.9492969799838772,0.027736980953783002,-0.12183896062920725,0.22342397648647427
vision_merger_pre_reverse,6,77,0.9489491625567905,0.02765917247757009,-0.13361288608583882,0.23273943930627145
vision_merger_pre_reverse,7,77,0.9486015179284282,0.027639555067064166,-0.08527675870572171,0.227593961285599
vision_merger_pre_reverse,8,38,0.9316548323356223,0.016905507993713702,0.01754289340576913,0.09105536595454525
vision_merger_pre_reverse,9,38,0.9313974336087925,0.0168235170637849,0.01265549602556358,0.09383110360723283
vision_merger_pre_reverse,10,37,0.930406034197149,0.015778491353365235,0.00967318143231158,0.07991770862657695
vision_merger_pre_reverse,11,37,0.9292563686408288,0.015977126223728655,-0.005354497591022049,0.0820667032640859
vision_merger_pre_reverse,12,37,0.9291694606724901,0.017100884658890498,-0.004072710079956535,0.10899574833819504
vision_merger_pre_reverse,13,37,0.9287766124812773,0.017060830682274992,-0.005447206492268022,0.08690408740341318
vision_merger_pre_reverse,14,36,0.9277238384092531,0.01686528455807261,-0.01902160112798632,0.04685649226195698
vision_merger_pre_reverse,15,36,0.9264652444481063,0.01755890217242641,-0.03299279561551447,0.06030374842955296
vision_merger_pre_reverse,16,35,0.9262345794797905,0.017886297696438333,-0.035192328975731546,0.048356925815808055
vision_merger_pre_reverse,17,35,0.9260065904940672,0.018240289977961646,-0.03542420384676618,0.04505781192366588
vision_merger_pre_reverse,18,35,0.9257485306397683,0.01819363627210703,-0.03847183102799387,0.041131599888850706
vision_merger_pre_reverse,19,35,0.9256072081584729,0.017959959275322592,-0.04270202203131734,0.04319567267897876
vision_merger_pre_reverse,20,35,0.9255084949008802,0.017837778939136153,-0.045791387520068144,0.04470104484952924
vision_merger_pre_reverse,21,35,0.9255001887835239,0.017882455077215975,-0.046094522424405864,0.04361202175890764
vision_merger_pre_reverse,22,35,0.9252060165670121,0.01775014635253586,-0.049941490121685625,0.04697626952223368
vision_merger_pre_reverse,23,35,0.9245000871839603,0.017806801383801973,-0.059990076811313846,0.04379353254144501
vision_merger_pre_reverse,24,35,0.9244123792796242,0.017986163707980316,-0.05807374374988439,0.049170040432748946
vision_merger_pre_reverse,25,35,0.9245149482429901,0.017214403563149343,-0.056802542242013095,0.05000809882259804
vision_merger_pre_reverse,26,35,0.9245074693157019,0.017038911572072487,-0.056602600643191274,0.04825946229249153
vision_merger_pre_reverse,27,35,0.9243937525101179,0.017143186597325954,-0.059926712267033826,0.0500059805436104
vision_merger_pre_reverse,28,35,0.923588379987038,0.017693319193138112,-0.06583599174180059,0.05658851866752979
vision_merger_pre_reverse,29,35,0.922452703920358,0.01844699439123998,-0.07933436991325135,0.06795753058796104
vision_merger_pre_reverse,30,35,0.921854240284818,0.01919839550635964,-0.08163158461875765,0.07228170437752195
vision_merger_pre_reverse,31,35,0.9217663187562635,0.01962798120721098,-0.07831423290920847,0.07718544567576108
vision_merger_pre_reverse,32,35,0.9211901913204864,0.019337539595648982,-0.08382992542027697,0.07683315158488845
vision_merger_pre_reverse,33,35,0.9203231272102791,0.01935643451892519,-0.09363107221070328,0.07176382051809817
vision_merger_pre_reverse,34,35,0.9198789441955387,0.01952238384627642,-0.09819358130365329,0.07733038061044102
vision_merger_pre_reverse,35,35,0.9194800764871326,0.019924250108214428,-0.0973079640640368,0.08057604363428487
vision_merger_pre_reverse,36,35,0.9189744352778433,0.019988680566920172,-0.10394952340502334,0.07677457932416067
vision_merger_pre_reverse,37,35,0.9184580997247962,0.020017481321473917,-0.10479688865463511,0.07745227172962764
vision_merger_pre_reverse,38,35,0.918419850463953,0.02004144351488944,-0.10332919686638378,0.07949389282173232
vision_merger_pre_reverse,39,35,0.9182703118656677,0.019812989021845646,-0.10081116899202074,0.08238280461608277
vision_merger_pre_reverse,40,35,0.9182328048968781,0.0197121790218944,-0.09959930560545956,0.08536419513864811
vision_merger_pre_reverse,41,35,0.9181639885361019,0.019993916156580964,-0.0956398814276747,0.0803428260372139
vision_merger_pre_reverse,42,35,0.917595422373147,0.020672109250738317,-0.09545935570485878,0.08215292795917935
vision_merger_pre_reverse,43,35,0.9165610860070134,0.020754964956091557,-0.10217987673784297,0.08367533125481645
vision_merger_pre_reverse,44,35,0.9152024527730006,0.02045679837962911,-0.11675455828957695,0.08139990227971813
vision_merger_pre_reverse,45,35,0.9150847561048013,0.02007398356659324,-0.11584028681540791,0.08502635775903038
vision_merger_pre_reverse,46,35,0.9154224773060964,0.019571183706705974,-0.10764579282392252,0.09382763828696401
vision_merger_pre_reverse,47,35,0.9147530750554456,0.019930097003071835,-0.10583049729356621,0.10247002888145558
vision_merger_pre_reverse,48,35,0.9141948603885661,0.020383751620642595,-0.10215537393782327,0.09869077360613451
vision_merger_pre_reverse,49,35,0.91350994974767,0.021106143684210942,-0.10285722483888922,0.10046657550299423
vision_merger_pre_reverse,50,34,0.9134957228851531,0.022432023600393487,-0.10206820092875471,0.1045778978802909
vision_merger_pre_reverse,51,34,0.913678904568354,0.02162336696381014,-0.10062183308266952,0.09963872060943724
vision_merger_pre_reverse,52,34,0.9130665092828975,0.02259090843102585,-0.10483858509526285,0.1095346062772767
vision_merger_pre_reverse,53,34,0.912754218536024,0.02311459167135486,-0.1060391400410824,0.1185167320206071
vision_merger_pre_reverse,54,34,0.9130728573941203,0.023911247228288125,-0.09996386081699356,0.12178391934406974
vision_merger_pre_reverse,55,34,0.9145877776308438,0.023816550116890798,-0.08490247784140502,0.12021797003525644
vision_merger_pre_reverse,56,34,0.9164041818034957,0.02401360782068655,-0.06559461231384535,0.12516098921573998
vision_merger_pre_reverse,57,34,0.9157539685219126,0.025010700957258054,-0.061524183039035674,0.13298443234880186
vision_merger_pre_reverse,58,34,0.915161150796055,0.025947806668574026,-0.06391980580130505,0.14276316085507054
vision_merger_pre_reverse,59,34,0.9148765411952686,0.025896577233360814,-0.06630278529995594,0.14446242099458317
vision_merger_pre_reverse,60,34,0.9155995508242744,0.02554968659545333,-0.04714983761207553,0.13814879314997067
vision_merger_pre_reverse,61,34,0.9135591583089044,0.028799397459558014,-0.05194553238823415,0.16223849533963278
vision_merger_pre_reverse,62,34,0.9133225000441425,0.029450859667935016,-0.016010534414016744,0.18201865380176868
vision_merger_pre_reverse,63,34,0.9180012749761707,0.032654507911036364,0.038003103283333624,0.26147488009953734
vision_final,1,77,0.9680617170621222,0.016254255639743594,0.24407735073542342,0.17365992104630437
vision_final,2,77,0.9565213394081044,0.025111673752698956,0.035241013371309075,0.16138806090779656
vision_final,3,77,0.9525840529787941,0.027757779153384284,-0.06159501041240683,0.20098314336429124
vision_final,4,77,0.9503266490492637,0.02796894656768135,-0.11669926732770311,0.228039652004359
vision_final,5,77,0.9492969799838772,0.027736980953783002,-0.12183896062920725,0.22342397648647427
vision_final,6,77,0.9489491625567905,0.02765917247757009,-0.13361288608583882,0.23273943930627145
vision_final,7,77,0.9486015179284282,0.027639555067064166,-0.08527675870572171,0.227593961285599
vision_final,8,38,0.9316548323356223,0.016905507993713702,0.01754289340576913,0.09105536595454525
vision_final,9,38,0.9313974336087925,0.0168235170637849,0.01265549602556358,0.09383110360723283
vision_final,10,37,0.930406034197149,0.015778491353365235,0.00967318143231158,0.07991770862657695
vision_final,11,37,0.9292563686408288,0.015977126223728655,-0.005354497591022049,0.0820667032640859
vision_final,12,37,0.9291694606724901,0.017100884658890498,-0.004072710079956535,0.10899574833819504
vision_final,13,37,0.9287766124812773,0.017060830682274992,-0.005447206492268022,0.08690408740341318
vision_final,14,36,0.9277238384092531,0.01686528455807261,-0.01902160112798632,0.04685649226195698
vision_final,15,36,0.9264652444481063,0.01755890217242641,-0.03299279561551447,0.06030374842955296
vision_final,16,35,0.9262345794797905,0.017886297696438333,-0.035192328975731546,0.048356925815808055
vision_final,17,35,0.9260065904940672,0.018240289977961646,-0.03542420384676618,0.04505781192366588
vision_final,18,35,0.9257485306397683,0.01819363627210703,-0.03847183102799387,0.041131599888850706
vision_final,19,35,0.9256072081584729,0.017959959275322592,-0.04270202203131734,0.04319567267897876
vision_final,20,35,0.9255084949008802,0.017837778939136153,-0.045791387520068144,0.04470104484952924
vision_final,21,35,0.9255001887835239,0.017882455077215975,-0.046094522424405864,0.04361202175890764
vision_final,22,35,0.9252060165670121,0.01775014635253586,-0.049941490121685625,0.04697626952223368
vision_final,23,35,0.9245000871839603,0.017806801383801973,-0.059990076811313846,0.04379353254144501
vision_final,24,35,0.9244123792796242,0.017986163707980316,-0.05807374374988439,0.049170040432748946
vision_final,25,35,0.9245149482429901,0.017214403563149343,-0.056802542242013095,0.05000809882259804
vision_final,26,35,0.9245074693157019,0.017038911572072487,-0.056602600643191274,0.04825946229249153
