cohort,question_id,participant_id,source_video_id,category,question_type,anchor_layer,target_layer,distance_from_anchor,anchor_native_temporal_entropy,native_retained_target_layer_mass,native_oracle_top50_target_layer_mass,reuse_efficiency,native_source_target_top2_jaccard,native_source_target_spearman,selected_native_unit_ids,selected_analysis_bins,selected_units_adjacent,normalized_temporal_coverage_span,contains_first_unit,contains_last_unit,descriptive_eight_bin_anchor_entropy,descriptive_eight_bin_retained_mass,descriptive_eight_bin_top4_oracle_mass
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,12,14,2,0.9979231425394594,0.54061530623237,0.5529085703569065,0.9777661899568654,0.3333333333333333,0.39999999999999997,0 1,0 1 2 3,True,0.5,True,False,0.9986154283572122,0.5406153062300598,0.5529085703545438
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,12,15,3,0.9979231425394594,0.46118183814540326,0.5716936849592378,0.8066939521612625,0.3333333333333333,0.19999999999999998,0 1,0 1 2 3,True,0.5,True,False,0.9986154283572122,0.4611818381432943,0.5716936849566234
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,16,17,1,0.9653323708009126,0.5916836467597976,0.5916836467597976,1.0,1.0,1.0,1 2,2 3 4 5,True,0.5,False,False,0.9768882471989434,0.5916836467570118,0.5916836467570118
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,16,18,2,0.9653323708009126,0.5369202460150904,0.5961286311619849,0.9006785078725635,0.3333333333333333,0.19999999999999998,1 2,2 3 4 5,True,0.5,False,False,0.9768882471989434,0.5369202460121406,0.5961286311587098
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,16,19,3,0.9653323708009126,0.5507044182812175,0.579309498028906,0.950622111591443,0.3333333333333333,0.39999999999999997,1 2,2 3 4 5,True,0.5,False,False,0.9768882471989434,0.550704418278969,0.5793094980265407
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,20,21,1,0.9967988590242893,0.5459041917108565,0.5459041917108565,1.0,1.0,0.7999999999999999,1 2,2 3 4 5,True,0.5,False,False,0.9978659060132705,0.5459041917075382,0.5459041917075382
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,20,22,2,0.9967988590242893,0.49185372895570245,0.5702000682711618,0.8625985094091548,0.3333333333333333,-0.19999999999999998,1 2,2 3 4 5,True,0.5,False,False,0.9978659060132705,0.49185372895180973,0.570200068266649
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,20,23,3,0.9967988590242893,0.49128541846357876,0.5355095351056816,0.9174167521902756,0.3333333333333333,-0.19999999999999998,1 2,2 3 4 5,True,0.5,False,False,0.9978659060132705,0.4912854184596303,0.5355095351013777
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,24,25,1,0.996943740705359,0.5604523151803817,0.5604523151803817,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9979624937984054,0.5604523151755081,0.5604523151755081
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,24,26,2,0.996943740705359,0.5933275528671704,0.5933275528671704,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9979624937984054,0.5933275528630446,0.5933275528630446
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,24,27,3,0.996943740705359,0.5925331745338842,0.5925331745338842,1.0,1.0,0.7999999999999999,0 1,0 1 2 3,True,0.5,True,False,0.9979624937984054,0.5925331745305786,0.5925331745305786
